nohup: ignoring input
Loaded 600 graphs for dataset ENZYMES
total graph num: 587, training set: 469
max number node: 125
max/min number edge: 149; 16
max previous node: 3
Epoch: 1480/3000, train loss: 0.363575, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1490/3000, train loss: 0.407014, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1500/3000, train loss: 0.489357, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 1510/3000, train loss: 0.419047, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1520/3000, train loss: 0.445512, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1530/3000, train loss: 0.361375, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1540/3000, train loss: 0.451177, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1550/3000, train loss: 0.444808, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1560/3000, train loss: 0.394458, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1570/3000, train loss: 0.445866, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1580/3000, train loss: 0.424668, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1590/3000, train loss: 0.408126, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1600/3000, train loss: 0.426333, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 1610/3000, train loss: 0.439807, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1620/3000, train loss: 0.415684, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1630/3000, train loss: 0.434095, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1640/3000, train loss: 0.410166, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1650/3000, train loss: 0.424707, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1660/3000, train loss: 0.458319, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1670/3000, train loss: 0.382653, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1680/3000, train loss: 0.432397, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1690/3000, train loss: 0.425457, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1700/3000, train loss: 0.428645, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 1710/3000, train loss: 0.417724, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1720/3000, train loss: 0.420829, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1730/3000, train loss: 0.439643, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1740/3000, train loss: 0.436939, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1750/3000, train loss: 0.452135, graph type: grid, num_layer: 4, hidden: 128
